 "Rte 123",  0, 12, 0, 12.3, 3.15, 12.8, 1.9, 12.8, 1.9, 13.2, 17.8.0, 13.2, 17.8.0, 12.8, 4.88, 12.8 
 "Rte 140",  1.5, 12.4, 1.5, 17.8, 1.9, 17.8, 1.9, 12.5
 "E Main St",  1.9, 12.8, 1.9, 13.2, 17.8, 13.2, 17.8, 12.8
 "Tauton Ave",  2.2, 0,2.2, 12.05, 2.5 ,12.25, 2.5, 0
 "Howard St",  2.5, 5.3, 2.5, 5.6, 4.9, 5.6, 4.9, 12.8, 5.21, 12.8, 5.21, 5.6, 5.6, 5.6, 5.62, 5.58, 5.65, 5.625, 5.64, 5.6, 5.68, 5.58, 5.7, 5.54, 5.73, 5.5, 5.78, 5.48, 5.8, 5.46, 5.85, 5.44, 5.92, 5.43, 6.0, 5.42, 6.0, 4.8, 5.71, 5.3
 "Norton Med Lot",  2.5,5.8, 2.5, 7.5, 3.5, 7.5, 3.5, 5.8
 "Book Store Lot",  2.5, 8.3, 2.5, 9.1, 3.5, 9.1, 3.5, 8.3
 "Parking Lot 10", 3.17, 10.22, 3.17, 12.35, 3.35, 12.4, 3.35, 11.85, 4.2, 11.85, 4.2, 10.22
 "Parking Lot 1", 1.9, 14.91, 1.9, 15.11, 3.1, 15.11, 3.1, 15.22, 2.05, 15.22, 2.05, 15.8, 3.75, 15.8, 3.75, 15.22, 3.27, 15.22, 3.27, 15.11, 7.91, 15.11, 7.91, 14.91, 6.68, 14.91, 6.68, 13.81, 5.2, 13.81, 5.2, 13.2, 5.0, 13.2, 5.0, 13.81, 4.5, 13.81, 4.5, 14.68, 3.1, 14.68, 3.1, 14.91
"Parking Lot 2", 10.5, 13.2, 10.5, 14.7, 13.8, 14.7, 13.8, 13.8, 10.87, 13.8, 10.87, 13.2
"Elm St.", 13.8, 17.8, 14.2, 17.8, 14.2, 13.2, 13.8, 13.2
"Pine St.", 13.8, 11.4, 13.8, 12.8, 14.2, 12.8, 14.2, 11.4, 17.8, 4.8, 17.8, 3.9
"Parking Lot 3", 17.6, 4.3, 16.9, 3.9, 17.7, 2.5, 16.3, 1.7, 15.3, 3.6, 16.2, 4.1, 15.4, 5.0, 13.9, 5.6, 14.0, 5.8, 15.1, 5.4, 15.8, 7.0, 16.1, 6.9, 15.7, 6.0, 16.0, 5.9, 15.7, 5.1, 16.5,  4.2, 16.7, 4.3, 16.8, 4.1, 17.5, 4.5
"Parking Lot 7",  9.8, 3.66, 10.02, 3.66, 9.9, 4.05, 9.3, 4.3, 9.4, 4.4, 10.08, 4.1, 10.3, 3.66, 10.4, 3.66, 10.4, 2.91, 9.8, 2.91
"Parking Lot 8", 6.1, 1.8, 6.1, 3.4, 8.0, 3.4, 8.0, 2.8, 6.7, 2.8, 6.7, 2.6, 8.0, 2.6, 8.0, 1.8
"Lot 9", 6.5, 4.2, 6.5, 4.8, 7.0, 4.8, 7.0, 4.2
"Parking Lot 4", 11.6, 7.3, 11.6, 8.15, 13.2, 8.15, 13.2, 6.7, 12.3, 6.4, 12.3, 7.3
"Fillmore Dr", 12.3, 6.4, 13.2, 6.7,  13.5, 6.95, 13.7, 7.1, 14.0, 7.4, 14.1, 7.68, 14.2, 7.8, 14.25, 7.9, 14.5, 8.1, 13.3, 10.3, 12.0, 10.3, 12.0, 10.45, 13.4, 10.45, 14.6, 8.2, 15.4, 8.6, 15.5, 8.4, 14.6, 7.8,  14.0, 7.0,  13.8, 6.7, 12.0, 6.0, 10.1, 5.8, 9.4, 4.4, 9.3, 4.3, 9.0, 3.8, 8.0, 3.8, 7.0, 3.8, 6.3, 4.0, 6.0, 4.8, 6.0, 5.42, 6.3, 4.65,  7.0, 3.88, 7.5, 3.6, 8.0, 3.61, 9.0, 4.2, 9.3, 5.1, 9.4, 5.15, 10.1, 5.9, 11.0, 6.0, 12.0, 6.3     





