"Mary Lyon Hall", 8.2, 11.9, 8.2, 12.21, 8.4, 12.21, 8.4, 12.41, 8.8, 12.41, 8.8, 12.21, 9.0, 12.21, 9.0, 11.9, 8.8, 11.9, 8.8, 11.7, 8.4, 11.7, 8.4, 11.9     
"Watson Fine Arts", 9.19, 11.9, 9.19, 12.6, 9.79, 12.6, 9.79, 12.5, 10.11, 12.5, 10.11, 12.0, 9.79, 12.0, 9.79, 11.9
"Mars Arts & Humanities", 9.2, 10.8, 9.2, 11.11, 9.3, 11.11, 9.3, 11.3, 10.21, 11.3, 10.21, 10.95, 9.7, 10.95, 9.75, 10.8, 9.385, 10.73, 9.3, 10.8 
"Facilities", 10.27, 8.2, 10.27, 8.5, 10.62, 8.5, 10.62, 8.2
"Clark Hall", 11.6, 11.65, 11.6, 12.41, 11.99, 12.41, 11.99, 11.65 
"Young Hall", 12.7, 11.42, 12.7, 12.41, 13.09, 12.41, 13.09, 11.42
"McIntire Hall", 12.18, 10.6, 12.18, 10.6, 12.61, 11.6, 12.61, 10.6
"5/7 Pine St", 13.38, 11.5, 13.38, 11.9, 13.71, 11.9, 13.71, 11.5
"Chase Dining Halls", 11.0, 10.3, 11.0, 10.8, 10.95, 10.85, 10.90, 10.9, 10.85, 10.95, 10.8, 11.0, 10.85, 11.05, 10.9 ,11.1, 10.95, 11.15, 11.0, 11.20, 11.25, 11.15, 11.3, 11.1, 11.35, 11.05, 11.4, 11.0, 12.0, 11.0, 12.0, 10.3
"Meadows", 11.96, 8.3, 11.96, 8.7, 12.35, 8.7, 12.35, 9.8, 13.3, 9.8, 13.3, 9.4, 12.71, 9.4, 12.71, 8.7, 13.3, 8.7, 13.3, 8.3
"Elms", 15.09, 7.9, 15.4, 8.1, 15.6, 7.71, 15.22, 7.6
"Lindens", 16.09, 6.1, 16.4, 6.3, 16.6, 6.0, 16.49, 5.9, 16.6, 5.7, 16.29, 5.5, 16.09, 5.7, 16.2, 5.9 
"Bittersweet", 16.5, 5.2, 16.8, 5.4, 17.0, 5.2, 16.7, 5.0 










